chainage;advance;ring;easting;northing;tunnel_elev;surface_elev;soil_base_elev;soil_depth;lon;lat;tunnel_dir
482.81;171;184;119443.43;1214769.76;-0.63;95.01;67.19;27.81;10.847733175518;59.927560164182;294.33
484.61;172;185;119441.79;1214770.51;-0.62;95.01;67.03;27.97;10.847703856779;59.927566882411;294.33
486.41;173;186;119440.15;1214771.25;-0.61;95.02;66.71;28.29;10.847674539828;59.927573599733;294.33
488.21;174;187;119438.51;1214771.99;-0.60;95.03;66.36;28.60;10.847645221089;59.927580317056;294.33
490.01;175;188;119436.87;1214772.73;-0.60;95.04;66.20;28.68;10.847615904137;59.927587035284;294.33
491.81;176;189;119435.23;1214773.47;-0.59;95.08;65.92;28.88;10.847586585398;59.927593752607;294.33
493.61;177;190;119433.59;1214774.21;-0.58;95.10;65.64;29.09;10.847557268447;59.927600469930;294.33
495.41;178;191;119431.95;1214774.96;-0.57;95.25;65.49;29.32;10.847527949708;59.927607187252;294.33
497.21;179;192;119430.31;1214775.70;-0.57;95.29;65.21;29.56;10.847498632756;59.927613905481;294.33
499.01;180;193;119428.67;1214776.44;-0.56;95.30;64.92;29.80;10.847469314017;59.927620622804;294.33
500.81;181;194;119427.03;1214777.18;-0.55;95.18;64.82;29.86;10.847439997066;59.927627340126;294.33
502.61;182;195;119425.39;1214777.92;-0.54;95.06;64.64;30.01;10.847410678327;59.927634057449;294.33
504.41;183;196;119423.75;1214778.66;-0.54;94.94;64.45;30.18;10.847381361375;59.927640775677;294.33
506.21;184;197;119422.11;1214779.40;-0.53;94.84;64.34;30.28;10.847352044424;59.927647493000;294.33
508.01;185;198;119420.47;1214780.15;-0.52;94.72;64.06;30.48;10.847322725685;59.927654210323;294.33
509.81;186;199;119418.83;1214780.89;-0.51;94.65;63.91;30.43;10.847293408733;59.927660927645;294.33
511.61;187;200;119417.19;1214781.63;-0.51;94.56;63.64;30.51;10.847264089994;59.927667645874;294.33
513.41;188;201;119415.55;1214782.37;-0.50;94.41;63.36;30.60;10.847234773043;59.927674363197;294.33
515.21;189;202;119413.91;1214783.11;-0.49;94.31;63.21;30.55;10.847205454304;59.927681080519;294.33
517.01;190;203;119412.27;1214783.85;-0.49;94.25;62.93;30.64;10.847176137352;59.927687797842;294.33
518.81;191;204;119410.63;1214784.60;-0.48;94.27;62.65;30.87;10.847146818613;59.927694516070;294.33
520.61;192;205;119408.99;1214785.34;-0.47;94.44;62.51;31.00;10.847117501662;59.927701233393;294.33
522.41;193;206;119407.35;1214786.08;-0.46;94.44;62.23;31.26;10.847088182923;59.927707950716;294.33
524.21;194;207;119405.71;1214786.82;-0.46;94.42;61.94;31.56;10.847058865971;59.927714668038;294.33
526.01;195;208;119404.07;1214787.56;-0.45;94.29;61.79;31.72;10.847029547232;59.927721386267;294.33
527.81;196;209;119402.43;1214788.30;-0.44;94.27;61.51;32.01;10.847000230281;59.927728103590;294.33
529.61;197;210;119400.79;1214789.04;-0.43;94.18;61.37;32.16;10.846970911542;59.927734820912;294.33
531.41;198;211;119399.15;1214789.79;-0.43;94.20;61.11;32.43;10.846941594590;59.927741538235;294.33
533.21;199;212;119397.51;1214790.53;-0.42;94.24;60.89;32.65;10.846912275851;59.927748256463;294.33
535.01;200;213;119395.87;1214791.27;-0.41;94.23;60.79;32.76;10.846882958899;59.927754973786;294.33
536.81;201;214;119394.23;1214792.01;-0.40;94.26;60.55;33.01;10.846853640160;59.927761691109;294.33
538.61;202;215;119392.59;1214792.75;-0.40;94.23;60.30;33.30;10.846824323209;59.927768409337;294.33
540.41;203;216;119390.95;1214793.49;-0.39;94.42;60.19;33.48;10.846795004470;59.927775126660;294.33
542.21;204;217;119389.31;1214794.23;-0.38;94.26;59.94;33.80;10.846765687518;59.927781843983;294.33
544.01;205;218;119387.67;1214794.98;-0.37;94.07;59.75;34.05;10.846736370567;59.927788561305;294.33
545.81;206;219;119386.03;1214795.72;-0.37;94.07;59.69;34.18;10.846707051828;59.927795279534;294.33
547.61;207;220;119384.39;1214796.46;-0.36;94.06;59.58;34.37;10.846677734876;59.927801996856;294.33
549.41;208;221;119382.75;1214797.20;-0.35;94.04;59.46;34.55;10.846648416137;59.927808714179;294.33
551.21;209;222;119381.11;1214797.94;-0.34;94.00;59.40;34.62;10.846619099186;59.927815431502;294.33
553.01;210;223;119379.47;1214798.68;-0.34;94.02;59.23;34.78;10.846589780447;59.927822149730;294.33
554.81;211;224;119377.83;1214799.43;-0.33;94.00;59.15;34.87;10.846560463495;59.927828867053;294.33
556.61;212;225;119376.19;1214800.17;-0.32;94.01;59.01;35.01;10.846531144756;59.927835584376;294.33
558.41;213;226;119374.55;1214800.91;-0.32;94.03;58.86;35.15;10.846501827805;59.927842301698;294.33
560.21;214;227;119372.91;1214801.65;-0.31;94.07;58.79;35.21;10.846472509066;59.927849019927;294.33
562.01;215;228;119371.27;1214802.39;-0.30;94.10;58.65;35.35;10.846443192114;59.927855737250;294.33
563.81;216;229;119369.63;1214803.13;-0.29;94.23;58.51;35.49;10.846413873375;59.927862454572;294.33
565.61;217;230;119367.99;1214803.87;-0.29;94.18;58.44;35.56;10.846384556424;59.927869171895;294.33
567.41;218;231;119366.35;1214804.62;-0.28;94.20;58.42;35.58;10.846355237685;59.927875890123;294.33
569.21;219;232;119364.71;1214805.36;-0.27;94.18;58.40;35.60;10.846325920733;59.927882607446;294.33
