area;method;id;partID;x;y;z;lon;lat;depth;height_probe;soil_classification
8;Løsmasseboring;PZ-3020;30201;116163.7;1218942.5;165.0;10.789107;59.965408;20.4;144.6;Morene
8;Løsmasseboring;PZ-3020-2;30202;116163.7;1218942.5;165.0;10.789107;59.965408;15.0;150.0;Sand/grus
8;Løsmasseboring;PZ-3047-1;30471;116412.7;1218161.1;176.4;10.793559;59.958329;17.0;159.4;Morene
8;Løsmasseboring;PZ-3047-2;30472;116412.7;1218161.1;176.4;10.793559;59.958329;7.0;169.4;Leire siltig sandig
4,1;Løsmasseboring;PZ-3103-1;31032;116154.2;1216843.8;134.1;10.788938;59.946396;9.6;124.5;Over berg, sand
4,1;Løsmasseboring;PZ-3103-2;31031;116154.2;1216843.8;134.1;10.788938;59.946396;5.0;129.1;Leire
4,1;Løsmasseboring;PZ-3112-1; ;116386.7;1216563.5;149.8;10.793093;59.943856;9.1;140.8;Over berg, leirig sand
4,1;Løsmasseboring;PZ-3112-2; ;116386.7;1216563.5;149.8;10.793093;59.943856;5.0;144.8;Leire
4,1;Løsmasseboring;PZ-3124-1;31241;116103.6;1216920.4;136.6;10.788034;59.947089;12.0;124.6;Over berg, leirig sand
4,1;Løsmasseboring;PZ-3124-2;31242;116103.6;1216920.4;136.6;10.788034;59.947089;7.0;129.6;Leire/silt
4,1;Løsmasseboring;PZ-3129-1;31291;116485.3;1216760.8;157.3;10.794855;59.945643;10.0;147.3;Over berg, leire/silt
4,1;Løsmasseboring;PZ-3129-2;31292;116485.3;1216760.8;157.3;10.794855;59.945643;5.0;152.3;Leire/silt
4,1;Løsmasseboring;PZ-4004-1;40042;116153.1;1216286.8;128.0;10.788917;59.941350;8.0;120.0;Over berg, leire/silt
4,1;Løsmasseboring;PZ-4004-2;40041;116153.1;1216286.8;128.0;10.788917;59.941350;4.0;124.0;Leire/silt
3;Løsmasseboring;PZ-4015-1;40151;117017.4;1216191.5;156.2;10.804367;59.940486;13.0;143.2;Ca. 1m over berg, morene
3;Løsmasseboring;PZ-4015-2;40152;117017.4;1216191.5;156.2;10.804367;59.940486;7.0;149.2;Sand/grus
3;Løsmasseboring;PZ-4019-1;40191;117066.0;1215742.1;117.7;10.805236;59.936415;5.0;112.7;Sand/grus
3;Løsmasseboring;PZ-4019-2;40192;117066.0;1215742.1;117.7;10.805236;59.936415;17.1;100.6;Sand/grus noe leire
3;Løsmasseboring;PZ-4028-1;40281;117870.3;1215840.3;117.4;10.819613;59.937304;29.8;87.6;Sandig leire
3;Løsmasseboring;PZ-4028-2;40282;117870.3;1215840.3;117.4;10.819613;59.937304;14.8;102.6;Sandig leire
2;Løsmasseboring;PZ-4031-1;40311;117791.4;1215195.2;111.6;10.818203;59.931460;14.6;97.0;Over berg, sand/grus
2;Løsmasseboring;PZ-4031-2;40312;117791.4;1215195.2;111.6;10.818203;59.931460;7.0;104.6;Leire/silt
2;Løsmasseboring;PZ-4035-1;40351;118186.8;1215582.7;124.9;10.825270;59.934971;18.0;106.9;Over berg, leire/silt
2;Løsmasseboring;PZ-4035-2;40352;118186.8;1215582.7;124.9;10.825270;59.934971;7.0;117.9;Leire/silt
2;Løsmasseboring;PZ-5001-1;50011;118167.4;1215351.7;117.3;10.824924;59.932879;9.8;107.5;Over berg, leirig sand
2;Løsmasseboring;PZ-5001-2;50012;118167.4;1215351.7;117.3;10.824924;59.932879;4.8;112.5;Leirig sand
2;Løsmasseboring;PZ-5002-1;50021;119242.9;1215149.7;88.3;10.844149;59.931049;18.0;70.3;Over berg, sand/grus
2;Løsmasseboring;PZ-5002-2;50022;119242.9;1215149.7;88.3;10.844149;59.931049;10.0;78.3;Sandig leire
2;Løsmasseboring;PZ-5003;15521;119698.8;1214740.8;93.9;10.852297;59.927344;15.1;78.8;Siltig leire
2;Løsmasseboring;PZ-5004-1;50041;119806.1;1214783.6;97.0;10.854217;59.927732;26.9;70.1;Leirig sand/grus
2;Løsmasseboring;PZ-5004-2;50042;119806.1;1214783.6;97.0;10.854217;59.927732;15.0;82.0;Siltig leire, noe sand
2;Løsmasseboring;PZ-5010-1;50101;119180.3;1214654.4;94.3;10.843030;59.926561;48.1;46.2;Over berg, siltig leire
2;Løsmasseboring;PZ-5010-2;50102;119180.3;1214654.4;94.3;10.843030;59.926561;10.1;84.2;Siltig leire
1;Løsmasseboring;PZ-6030-1;60301;119923.1;1213973.9;173.1;10.856307;59.920397;13.0;160.1;Over berg, sandig leire
1;Løsmasseboring;PZ-6030-2;60302;119923.1;1213973.9;173.1;10.856307;59.920397;7.0;166.1;Sandig/grusig
1;Løsmasseboring;PZ-6033-1;60331;120263.1;1214288.8;165.5;10.862385;59.923250;16.0;149.5;Over berg, sand/grus
1;Løsmasseboring;PZ-6033-2;60332;120263.1;1214288.8;165.5;10.862385;59.923250;5.0;160.5;Sandig leire
1;Løsmasseboring;PZ-9002;;119990.2;1214397.0;156.1;10.857507;59.924229;8.5;147.6;Over berg, grus
2;Løsmasseboring;PZ-9004;22169;119771.8;1214570.2;96.0;10.853603;59.925799;4.6;91.4;Over berg, leirig sand
